omega:	Tc:
0.1	0.923544015
0.103951976	0.918740908
0.107903952	0.913929084
0.111855928	0.90912176
0.115807904	0.904331738
0.11975988	0.899571378
0.123711856	0.89485257
0.127663832	0.890186727
0.131615808	0.885584762
0.135567784	0.881057088
0.13951976	0.876613611
0.143471736	0.872263728
0.147423712	0.868016331
0.151375688	0.863879813
0.155327664	0.859862073
0.15927964	0.855970531
0.163231616	0.852212133
0.167183592	0.848593371
0.171135568	0.845120291
0.175087544	0.841798512
0.17903952	0.83863324
0.182991496	0.835629284
0.186943472	0.832791074
0.190895448	0.830122673
0.194847424	0.827627797
0.1987994	0.825309826
0.202751376	0.823171823
0.206703352	0.821216545
0.210655328	0.819446459
0.214607304	0.817863749
0.21855928	0.816470334
0.222511256	0.815267874
0.226463232	0.814257778
0.230415208	0.813441217
0.234367184	0.812819127
0.23831916	0.812392215
0.242271136	0.812160962
0.246223112	0.812125629
0.250175088	0.812286255
0.254127064	0.812642663
0.25807904	0.813194449
0.262031016	0.813940991
0.265982991	0.814881436
0.269934967	0.816014702
0.273886943	0.817339466
0.277838919	0.818854159
0.281790895	0.82055696
0.285742871	0.822445782
0.289694847	0.824518261
0.293646823	0.826771749
0.297598799	0.829203295
0.301550775	0.831809635
0.305502751	0.834587178
0.309454727	0.837531986
0.313406703	0.840639766
0.317358679	0.843905847
0.321310655	0.847325169
0.325262631	0.850892263
0.329214607	0.854601239
0.333166583	0.858445768
0.337118559	0.862419069
0.341070535	0.866513895
0.345022511	0.870722518
0.348974487	0.875036726
0.352926463	0.879447805
0.356878439	0.88394654
0.360830415	0.888523207
0.364782391	0.893167576
0.368734367	0.897868909
0.372686343	0.902615972
0.376638319	0.907397042
0.380590295	0.912199924
0.384542271	0.91701197
0.388494247	0.921820106
0.392446223	0.926610861
0.396398199	0.931370404
0.400350175	0.936084585
0.404302151	0.940738985
0.408254127	0.945318968
0.412206103	0.949809741
0.416158079	0.954196418
0.420110055	0.958464091
0.424062031	0.962597907
0.428014007	0.966583146
0.431965983	0.970405302
0.435917959	0.974050174
0.439869935	0.977503952
0.443821911	0.980753307
0.447773887	0.983785484
0.451725863	0.986588388
0.455677839	0.989150673
0.459629815	0.991461831
0.463581791	0.993512265
0.467533767	0.995293372
0.471485743	0.996797606
0.475437719	0.998018544
0.479389695	0.998950938
0.483341671	0.999590758
0.487293647	0.999935226
0.491245623	0.999982843
0.495197599	0.999733396
0.499149575	0.999187967
0.503101551	0.998348918
0.507053527	0.997219872
0.511005503	0.995805684
0.514957479	0.994112401
0.518909455	0.992147207
0.522861431	0.989918369
0.526813407	0.987435166
0.530765383	0.984707819
0.534717359	0.981747412
0.538669335	0.978565803
0.542621311	0.975175545
0.546573287	0.97158979
0.550525263	0.967822203
0.554477239	0.963886869
0.558429215	0.959798206
0.562381191	0.955570874
0.566333167	0.951219696
0.570285143	0.946759573
0.574237119	0.942205407
0.578189095	0.937572031
0.582141071	0.932874143
0.586093047	0.928126242
0.590045023	0.923342573
0.593996998	0.91853708
0.597948974	0.913723357
